City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Castro,BR,-24.7911,-50.0119,50.59,72,6,2.01,clear sky
104,Lydenburg,ZA,-25.0978,30.4597,49.71,95,42,1.63,scattered clouds
105,Sao Filipe,CV,14.8961,-24.4956,73.08,79,37,11.23,scattered clouds
106,Borogontsy,RU,62.6683,131.1683,43.93,80,31,4.83,scattered clouds
107,Alice Springs,AU,-23.7,133.8833,38.75,75,4,4.61,clear sky
108,Nenjiang,CN,49.1833,125.2167,53.11,65,18,0.81,few clouds
109,Clyde River,CA,70.4692,-68.5914,23.23,86,100,5.75,overcast clouds
110,Flinders,AU,-34.5833,150.8552,55.18,93,100,4.0,overcast clouds
111,Onega,RU,63.9061,38.1404,29.66,79,2,7.31,clear sky
112,Inuvik,CA,68.3499,-133.7218,36.36,81,100,5.75,light snow
113,Hithadhoo,MV,-0.6,73.0833,82.69,71,38,7.61,scattered clouds
114,Ponta Do Sol,PT,32.6667,-17.1,68.0,84,24,2.44,few clouds
115,College,US,64.8569,-147.8028,73.99,31,0,4.61,clear sky
116,Buraydah,SA,26.326,43.975,91.85,13,0,16.22,clear sky
117,Chokurdakh,RU,70.6333,147.9167,33.48,100,100,4.65,overcast clouds
118,Yaan,NG,7.3833,8.5667,79.05,73,87,8.7,overcast clouds
119,Mandurah,AU,-32.55,115.7,60.67,73,0,9.91,clear sky
120,Saurimo,AO,-9.6608,20.3916,67.26,46,14,1.86,few clouds
121,Langres,FR,47.8333,5.3333,59.2,88,11,6.73,few clouds
122,Roald,NO,62.5833,6.1333,53.33,87,100,4.61,overcast clouds
123,Geraldton,AU,-28.7667,114.6,55.81,94,75,12.66,broken clouds
124,Hilo,US,19.7297,-155.09,93.27,86,49,1.99,scattered clouds
125,Bengkulu,ID,-3.8004,102.2655,75.56,91,86,4.54,overcast clouds
126,Nelson Bay,AU,-32.7167,152.15,61.0,97,83,6.6,broken clouds
127,Cabo San Lucas,MX,22.8909,-109.9124,84.61,64,2,10.09,clear sky
128,Kuldiga,LV,56.974,21.9572,49.69,98,100,7.74,overcast clouds
129,Hurghada,EG,27.2574,33.8129,82.44,39,0,19.57,clear sky
130,Provideniya,RU,64.3833,-173.3,51.96,48,99,10.94,overcast clouds
131,Marawi,PH,7.9986,124.2928,69.89,91,93,2.06,overcast clouds
132,Axim,GH,4.8699,-2.2405,76.68,90,100,9.86,moderate rain
133,Jalu,LY,29.0331,21.5482,69.62,42,0,13.73,clear sky
134,Cidreira,BR,-30.1811,-50.2056,59.72,71,43,3.02,scattered clouds
